english	hindi	pos	category	definition_en	definition_hi	example_en	example_hi
Budget	बजट	noun	finance and accounts	The annual statement of estimated receipts and expenditure of the Government.	सरकार की अनुमानित प्राप्तियों और व्यय का वार्षिक विवरण।	The budget estimates for the next financial year have been finalised.	अगले वित्तीय वर्ष के बजट अनुमान अंतिम रूप दे दिए गए हैं।
Demand for Grants	अनुदान मांग	noun	finance and accounts	The proposal placed before Parliament for expenditure from the Consolidated Fund.	संचित निधि से व्यय हेतु संसद के समक्ष रखा गया प्रस्ताव।	The Demand for Grants of the Ministry was voted by the House.	मंत्रालय की अनुदान मांग सदन द्वारा पारित की गई।
Grant-in-aid	सहायता अनुदान	noun	finance and accounts	Financial assistance given by government to an institution or body.	सरकार द्वारा किसी संस्था या निकाय को दी जाने वाली वित्तीय सहायता।	Grant-in-aid was released after receipt of the utilisation certificate.	उपयोगिता प्रमाणपत्र प्राप्त होने पर सहायता अनुदान जारी किया गया।
Consolidated Fund	संचित निधि	noun	finance and accounts	The fund into which all revenues and loans of the Government are credited.	वह निधि जिसमें सरकार के समस्त राजस्व और ऋण जमा किए जाते हैं।	No money can be withdrawn from the Consolidated Fund without authorisation.	प्राधिकार के बिना संचित निधि से कोई धन नहीं निकाला जा सकता।
Contingency Fund	आकस्मिकता निधि	noun	finance and accounts	A fund placed at the disposal of the President to meet unforeseen expenditure.	अप्रत्याशित व्यय की पूर्ति हेतु राष्ट्रपति के निपटान में रखी गई निधि।	An advance was taken from the Contingency Fund of India.	भारत की आकस्मिकता निधि से अग्रिम लिया गया।
Re-appropriation	पुनर्विनियोग	noun	finance and accounts	Transfer of funds from one head of account to another within a grant.	किसी अनुदान के भीतर एक लेखा शीर्ष से दूसरे शीर्ष को निधियों का अंतरण।	Re-appropriation was sanctioned to meet the shortfall.	कमी की पूर्ति हेतु पुनर्विनियोग स्वीकृत किया गया।
Supplementary Grant	अनुपूरक अनुदान	noun	finance and accounts	An additional grant sought when the sanctioned amount proves insufficient.	स्वीकृत राशि अपर्याप्त होने पर मांगा गया अतिरिक्त अनुदान।	A supplementary grant was obtained in the winter session.	शीतकालीन सत्र में अनुपूरक अनुदान प्राप्त किया गया।
Audit	लेखापरीक्षा	noun	finance and accounts	The examination of accounts to verify their accuracy and regularity.	लेखाओं की शुद्धता और नियमितता सत्यापित करने हेतु उनकी जांच।	The audit of the accounts was completed last month.	लेखाओं की लेखापरीक्षा पिछले माह पूर्ण हुई।
Audit Objection	लेखापरीक्षा आपत्ति	noun	finance and accounts	A point raised by audit regarding an irregularity in accounts or expenditure.	लेखाओं अथवा व्यय में अनियमितता के संबंध में लेखापरीक्षा द्वारा उठाया गया बिंदु।	A reply to the audit objection is awaited.	लेखापरीक्षा आपत्ति का उत्तर प्रतीक्षित है।
Utilisation Certificate	उपयोगिता प्रमाणपत्र	noun	finance and accounts	A certificate confirming that a grant was spent for the sanctioned purpose.	यह प्रमाणित करने वाला प्रमाणपत्र कि अनुदान स्वीकृत प्रयोजन हेतु व्यय किया गया।	The utilisation certificate for the last instalment is pending.	पिछली किस्त का उपयोगिता प्रमाणपत्र लंबित है।
Advance	अग्रिम	noun	finance and accounts	Money paid before it becomes due, to be adjusted later.	देय होने से पूर्व दी गई राशि, जिसका समायोजन बाद में किया जाता है।	The advance drawn for the tour must be settled within fifteen days.	दौरे हेतु आहरित अग्रिम का समायोजन पंद्रह दिन के भीतर किया जाए।
Reimbursement	प्रतिपूर्ति	noun	finance and accounts	Repayment of an amount already spent by an employee on official account.	कर्मचारी द्वारा शासकीय मद में पहले से व्यय की गई राशि की वापसी।	Reimbursement of medical expenses has been sanctioned.	चिकित्सा व्यय की प्रतिपूर्ति स्वीकृत की गई है।
Arrears	बकाया	noun	finance and accounts	An amount that is due but has not yet been paid or realised.	ऐसी राशि जो देय है किंतु अभी तक भुगतान या वसूल नहीं हुई है।	The arrears of pay will be paid in the next month's bill.	वेतन का बकाया अगले माह के बिल में दिया जाएगा।
Recovery	वसूली	noun	finance and accounts	The realisation of an amount overpaid or due to the Government.	अधिक भुगतान की गई अथवा सरकार को देय राशि की प्राप्ति।	Recovery will be effected in ten equal instalments.	वसूली दस समान किस्तों में की जाएगी।
Financial Year	वित्तीय वर्ष	noun	finance and accounts	The accounting year of the Government, from 1 April to 31 March.	सरकार का लेखा वर्ष, जो 1 अप्रैल से 31 मार्च तक होता है।	The expenditure must be booked within the financial year.	व्यय वित्तीय वर्ष के भीतर लेखांकित किया जाना चाहिए।
Honorarium	मानदेय	noun	finance and accounts	A payment made for special work performed outside normal duties.	सामान्य कर्तव्यों से हटकर किए गए विशेष कार्य हेतु किया गया भुगतान।	An honorarium was sanctioned to the members of the committee.	समिति के सदस्यों को मानदेय स्वीकृत किया गया।
Tender	निविदा	noun	procurement	A formal offer submitted in response to an invitation to supply goods or services.	वस्तुओं या सेवाओं की आपूर्ति हेतु आमंत्रण के उत्तर में प्रस्तुत औपचारिक प्रस्ताव।	Tenders were invited through the e-procurement portal.	ई-खरीद पोर्टल के माध्यम से निविदाएं आमंत्रित की गईं।
Earnest Money Deposit	बयाना राशि	noun	procurement	The amount deposited by a bidder as a guarantee of the seriousness of the bid.	बोली की गंभीरता की गारंटी के रूप में बोलीदाता द्वारा जमा की गई राशि।	The earnest money deposit will be refunded to unsuccessful bidders.	असफल बोलीदाताओं को बयाना राशि वापस कर दी जाएगी।
Security Deposit	प्रतिभूति जमा	noun	procurement	An amount held as security for the due performance of a contract.	संविदा के सम्यक निष्पादन की प्रतिभूति के रूप में रखी गई राशि।	The security deposit will be released after the warranty period.	वारंटी अवधि के बाद प्रतिभूति जमा जारी की जाएगी।
Purchase Order	क्रय आदेश	noun	procurement	A formal order placed on a supplier for goods or services.	वस्तुओं या सेवाओं हेतु आपूर्तिकर्ता को दिया गया औपचारिक आदेश।	The purchase order was issued after obtaining sanction.	स्वीकृति प्राप्त करने के बाद क्रय आदेश जारी किया गया।
Contract	संविदा	noun	procurement	A legally enforceable agreement between the Government and another party.	सरकार और अन्य पक्षकार के बीच विधितः प्रवर्तनीय करार।	The contract was awarded to the lowest evaluated bidder.	संविदा न्यूनतम मूल्यांकित बोलीदाता को प्रदान की गई।
Technical Bid	तकनीकी बोली	noun	procurement	The part of a tender that sets out technical capability and specifications.	निविदा का वह भाग जिसमें तकनीकी क्षमता और विनिर्देश दिए जाते हैं।	Only those qualifying in the technical bid were considered further.	केवल तकनीकी बोली में अर्हक पाए गए बोलीदाताओं पर आगे विचार किया गया।
Financial Bid	वित्तीय बोली	noun	procurement	The part of a tender that states the price offered.	निविदा का वह भाग जिसमें प्रस्तावित मूल्य दिया जाता है।	The financial bids were opened in the presence of the bidders.	बोलीदाताओं की उपस्थिति में वित्तीय बोलियां खोली गईं।
Act	अधिनियम	noun	legislative	A law passed by Parliament and assented to by the President.	संसद द्वारा पारित और राष्ट्रपति द्वारा अनुमति प्राप्त विधि।	The provisions of the Act came into force from 1 April.	अधिनियम के उपबंध 1 अप्रैल से प्रवृत्त हुए।
Bill	विधेयक	noun	legislative	A draft law placed before Parliament for consideration.	विचारार्थ संसद के समक्ष रखा गया विधि का प्रारूप।	The Bill was introduced in the Lok Sabha yesterday.	विधेयक कल लोक सभा में पुरःस्थापित किया गया।
Ordinance	अध्यादेश	noun	legislative	A law promulgated by the President when Parliament is not in session.	संसद का सत्र न होने पर राष्ट्रपति द्वारा प्रख्यापित विधि।	The Ordinance will have to be replaced by an Act.	अध्यादेश को अधिनियम द्वारा प्रतिस्थापित करना होगा।
Rules	नियम	noun	legislative	Subordinate legislation framed under the powers given by an Act.	अधिनियम द्वारा प्रदत्त शक्तियों के अंतर्गत बनाया गया अधीनस्थ विधान।	The Rules were notified in the official Gazette.	नियम राजपत्र में अधिसूचित किए गए।
Regulation	विनियम	noun	legislative	A rule made by a statutory authority for the conduct of its affairs.	किसी सांविधिक प्राधिकारी द्वारा अपने कार्यों के संचालन हेतु बनाया गया नियम।	The Board framed regulations for the conduct of examinations.	बोर्ड ने परीक्षाओं के संचालन हेतु विनियम बनाए।
Amendment	संशोधन	noun	legislative	A change made in an Act, rule or document.	किसी अधिनियम, नियम अथवा दस्तावेज़ में किया गया परिवर्तन।	The amendment takes effect from the date of publication.	संशोधन प्रकाशन की तारीख से प्रभावी होगा।
Gazette	राजपत्र	noun	legislative	The official journal in which government notifications are published.	वह शासकीय पत्रिका जिसमें सरकारी अधिसूचनाएं प्रकाशित होती हैं।	A copy of the Gazette notification is enclosed.	राजपत्र अधिसूचना की एक प्रति संलग्न है।
Statutory	सांविधिक	adjective	legislative	Created by or under the authority of a statute.	किसी संविधि द्वारा अथवा उसके प्राधिकार से सृजित।	The Commission is a statutory body.	आयोग एक सांविधिक निकाय है।
Schedule	अनुसूची	noun	legislative	A list appended to an Act giving details supplementary to its sections.	अधिनियम से संलग्न सूची जो उसकी धाराओं के पूरक विवरण देती है।	The item is listed in the Second Schedule to the Act.	यह मद अधिनियम की द्वितीय अनुसूची में सूचीबद्ध है।
Section	धारा	noun	legislative	A numbered division of an Act.	अधिनियम का क्रमांकित विभाग।	Action was taken under section 12 of the Act.	अधिनियम की धारा 12 के अंतर्गत कार्रवाई की गई।
Parliament Question	संसद प्रश्न	noun	parliamentary	A question asked by a Member of Parliament to which a Ministry must reply.	संसद सदस्य द्वारा पूछा गया प्रश्न जिसका उत्तर मंत्रालय को देना होता है।	The reply to the Parliament Question must be sent by Friday.	संसद प्रश्न का उत्तर शुक्रवार तक भेजा जाना चाहिए।
Starred Question	तारांकित प्रश्न	noun	parliamentary	A question requiring an oral answer in the House, followed by supplementaries.	ऐसा प्रश्न जिसका सदन में मौखिक उत्तर अपेक्षित होता है और तत्पश्चात पूरक प्रश्न पूछे जाते हैं।	The Minister replied to the starred question in the House.	मंत्री ने सदन में तारांकित प्रश्न का उत्तर दिया।
Unstarred Question	अतारांकित प्रश्न	noun	parliamentary	A question for which a written answer is laid on the Table of the House.	ऐसा प्रश्न जिसका लिखित उत्तर सदन के पटल पर रखा जाता है।	The unstarred question was answered in writing.	अतारांकित प्रश्न का उत्तर लिखित रूप में दिया गया।
Assurance	आश्वासन	noun	parliamentary	An undertaking given by a Minister on the floor of the House.	सदन के पटल पर मंत्री द्वारा दिया गया वचन।	The assurance given in the House is yet to be implemented.	सदन में दिया गया आश्वासन अभी कार्यान्वित नहीं हुआ है।
Standing Committee	स्थायी समिति	noun	parliamentary	A permanent committee of Parliament that examines the work of Ministries.	संसद की स्थायी समिति जो मंत्रालयों के कार्य की जांच करती है।	The Department-related Standing Committee sought a detailed note.	विभाग संबंधित स्थायी समिति ने विस्तृत टिप्पण मांगा।
Quorum	गणपूर्ति	noun	meetings	The minimum number of members required to be present to transact business.	कार्य संपादन हेतु उपस्थित रहने वाले सदस्यों की न्यूनतम अपेक्षित संख्या।	The meeting was adjourned for want of quorum.	गणपूर्ति के अभाव में बैठक स्थगित कर दी गई।
Agenda	कार्यसूची	noun	meetings	The list of items to be taken up at a meeting.	बैठक में लिए जाने वाले मदों की सूची।	The agenda papers were circulated a week in advance.	कार्यसूची के कागज़ात एक सप्ताह पूर्व परिचालित किए गए।
Minutes	कार्यवृत्त	noun	meetings	The official record of the proceedings and decisions of a meeting.	बैठक की कार्यवाही और निर्णयों का शासकीय अभिलेख।	The minutes of the meeting have been approved by the Chairperson.	बैठक का कार्यवृत्त अध्यक्ष द्वारा अनुमोदित कर दिया गया है।
Action Taken Report	की गई कार्रवाई रिपोर्ट	noun	meetings	A report stating the action taken on earlier decisions or recommendations.	पूर्व निर्णयों अथवा सिफारिशों पर की गई कार्रवाई बताने वाली रिपोर्ट।	The Action Taken Report was placed before the committee.	की गई कार्रवाई रिपोर्ट समिति के समक्ष रखी गई।
Vigilance	सतर्कता	noun	vigilance and discipline	The function of preventing and detecting corruption and malpractice.	भ्रष्टाचार और कदाचार की रोकथाम तथा पता लगाने का कार्य।	The vigilance angle in the case has been examined.	मामले में सतर्कता पहलू की जांच की गई है।
Disciplinary Proceedings	अनुशासनिक कार्यवाही	noun	vigilance and discipline	Formal action taken against an employee for misconduct.	कदाचार हेतु किसी कर्मचारी के विरुद्ध की गई औपचारिक कार्रवाई।	Disciplinary proceedings were initiated against the official.	कर्मचारी के विरुद्ध अनुशासनिक कार्यवाही आरंभ की गई।
Charge Sheet	आरोप पत्र	noun	vigilance and discipline	A formal statement of the charges levelled against an employee.	किसी कर्मचारी के विरुद्ध लगाए गए आरोपों का औपचारिक विवरण।	The charge sheet was served on the employee last week.	आरोप पत्र पिछले सप्ताह कर्मचारी को तामील किया गया।
Inquiry Officer	जांच अधिकारी	noun	vigilance and discipline	The officer appointed to conduct an inquiry into the charges.	आरोपों की जांच करने हेतु नियुक्त अधिकारी।	The Inquiry Officer submitted his report to the disciplinary authority.	जांच अधिकारी ने अपनी रिपोर्ट अनुशासनिक प्राधिकारी को प्रस्तुत की।
Suspension	निलंबन	noun	vigilance and discipline	Temporary removal of an employee from duty pending inquiry.	जांच लंबित रहते हुए कर्मचारी को अस्थायी रूप से कर्तव्य से हटाना।	The official was placed under suspension with immediate effect.	कर्मचारी को तत्काल प्रभाव से निलंबित कर दिया गया।
Penalty	शास्ति; दंड	noun	vigilance and discipline	A punishment imposed on an employee found guilty of misconduct.	कदाचार का दोषी पाए गए कर्मचारी पर लगाया गया दंड।	A minor penalty of censure was imposed.	परिनिंदा की छोटी शास्ति लगाई गई।
Censure	परिनिंदा	noun	vigilance and discipline	A formal expression of disapproval recorded against an employee.	किसी कर्मचारी के विरुद्ध अभिलिखित अननुमोदन की औपचारिक अभिव्यक्ति।	The penalty of censure was communicated to the official.	परिनिंदा की शास्ति कर्मचारी को संसूचित की गई।
Show Cause Notice	कारण बताओ नोटिस	noun	vigilance and discipline	A notice calling upon a person to explain why action should not be taken.	ऐसा नोटिस जिसमें किसी व्यक्ति से यह बताने को कहा जाता है कि उसके विरुद्ध कार्रवाई क्यों न की जाए।	A show cause notice was issued to the contractor.	ठेकेदार को कारण बताओ नोटिस जारी किया गया।
Appeal	अपील	noun	vigilance and discipline	A request to a higher authority to set aside or modify an order.	किसी आदेश को अपास्त या उपांतरित करने हेतु उच्चतर प्राधिकारी से किया गया अनुरोध।	The appeal was rejected by the appellate authority.	अपील अपीलीय प्राधिकारी द्वारा अस्वीकार कर दी गई।
Misconduct	कदाचार	noun	vigilance and discipline	Behaviour by an employee that breaches the conduct rules.	कर्मचारी का ऐसा आचरण जो आचरण नियमों का उल्लंघन करता हो।	The act amounts to misconduct under the conduct rules.	यह कृत्य आचरण नियमों के अंतर्गत कदाचार की कोटि में आता है।
Complaint	शिकायत	noun	grievances	A written or oral representation alleging a wrong or grievance.	किसी अन्याय अथवा व्यथा का आरोप लगाने वाला लिखित या मौखिक अभ्यावेदन।	The complaint has been forwarded for investigation.	शिकायत जांच हेतु अग्रेषित कर दी गई है।
Grievance	शिकायत; व्यथा	noun	grievances	A ground of complaint regarding a decision or treatment.	किसी निर्णय अथवा व्यवहार के संबंध में शिकायत का आधार।	The grievance was redressed within the prescribed time limit.	शिकायत का निवारण निर्धारित समय सीमा के भीतर कर दिया गया।
Redressal	निवारण	noun	grievances	The setting right of a grievance or wrong.	किसी शिकायत अथवा अन्याय को दूर करना।	A grievance redressal mechanism has been put in place.	शिकायत निवारण तंत्र स्थापित किया गया है।
Right to Information	सूचना का अधिकार	noun	right to information	The statutory right of a citizen to obtain information from a public authority.	किसी लोक प्राधिकरण से सूचना प्राप्त करने का नागरिक का सांविधिक अधिकार।	The application was filed under the Right to Information Act.	आवेदन सूचना का अधिकार अधिनियम के अंतर्गत दायर किया गया।
Public Authority	लोक प्राधिकरण	noun	right to information	A body established or substantially financed by the Government.	सरकार द्वारा स्थापित अथवा पर्याप्त रूप से वित्तपोषित निकाय।	Every public authority must publish the prescribed information.	प्रत्येक लोक प्राधिकरण को निर्धारित सूचना प्रकाशित करनी होगी।
Third Party	तृतीय पक्ष	noun	right to information	A person, other than the applicant, whose information is sought.	आवेदक से भिन्न वह व्यक्ति जिसकी सूचना मांगी गई हो।	The third party was given an opportunity to make a representation.	तृतीय पक्ष को अभ्यावेदन करने का अवसर दिया गया।
Time Limit	समय सीमा	noun	general administration	The period within which an action must be completed.	वह अवधि जिसके भीतर कोई कार्रवाई पूरी की जानी चाहिए।	The reply must be sent within the prescribed time limit.	उत्तर निर्धारित समय सीमा के भीतर भेजा जाना चाहिए।
Exemption	छूट	noun	general administration	Freedom from an obligation that would otherwise apply.	ऐसे दायित्व से मुक्ति जो अन्यथा लागू होता।	Exemption from the age limit was granted in this case.	इस मामले में आयु सीमा से छूट प्रदान की गई।
Official Language	राजभाषा	noun	official language	The language declared for the official purposes of the Union.	संघ के राजकीय प्रयोजनों हेतु घोषित भाषा।	Hindi in Devanagari script is the official language of the Union.	देवनागरी लिपि में हिंदी संघ की राजभाषा है।
Bilingual	द्विभाषी	adjective	official language	Issued or maintained in two languages, normally Hindi and English.	दो भाषाओं में जारी अथवा रखा गया, सामान्यतः हिंदी और अंग्रेज़ी में।	All name plates must be bilingual.	सभी नामपट्ट द्विभाषी होने चाहिए।
Translation	अनुवाद	noun	official language	Rendering of matter from one language into another.	किसी सामग्री का एक भाषा से दूसरी भाषा में रूपांतरण।	The Hindi translation of the report has been vetted.	रिपोर्ट के हिंदी अनुवाद का परीक्षण कर लिया गया है।
Rajbhasha Implementation Committee	राजभाषा कार्यान्वयन समिति	noun	official language	The committee that reviews progress in the use of Hindi in an office.	वह समिति जो किसी कार्यालय में हिंदी के प्रयोग की प्रगति की समीक्षा करती है।	The Rajbhasha Implementation Committee meets every quarter.	राजभाषा कार्यान्वयन समिति की बैठक प्रत्येक तिमाही होती है।
Hindi Fortnight	हिंदी पखवाड़ा	noun	official language	The fortnight observed in September to promote the use of Hindi.	हिंदी के प्रयोग को बढ़ावा देने हेतु सितंबर में मनाया जाने वाला पखवाड़ा।	Competitions were organised during the Hindi Fortnight.	हिंदी पखवाड़े के दौरान प्रतियोगिताएं आयोजित की गईं।
Affidavit	शपथपत्र	noun	general administration	A written statement confirmed by oath, for use as evidence.	शपथ द्वारा पुष्ट लिखित कथन, जो साक्ष्य के रूप में प्रयुक्त होता है।	An affidavit was filed before the Tribunal.	अधिकरण के समक्ष शपथपत्र दाखिल किया गया।
Undertaking	वचनबंध	noun	general administration	A written promise to do or refrain from doing something.	कुछ करने अथवा न करने का लिखित वचन।	The employee furnished an undertaking to refund the excess amount.	कर्मचारी ने अधिक राशि लौटाने का वचनबंध प्रस्तुत किया।
Attested	अभिप्रमाणित	adjective	general administration	Certified as a true copy or as correct by an authorised officer.	प्राधिकृत अधिकारी द्वारा सही प्रति अथवा सही के रूप में प्रमाणित।	Attested copies of the certificates must be enclosed.	प्रमाणपत्रों की अभिप्रमाणित प्रतियां संलग्न की जानी चाहिए।
Certified Copy	प्रमाणित प्रति	noun	general administration	A copy of a document certified to be a true copy of the original.	किसी दस्तावेज़ की प्रति जिसे मूल की सही प्रति प्रमाणित किया गया हो।	A certified copy of the order was supplied to the applicant.	आवेदक को आदेश की प्रमाणित प्रति उपलब्ध कराई गई।
Verification	सत्यापन	noun	general administration	The act of checking that particulars furnished are correct.	प्रस्तुत विवरणों की सत्यता की जांच करने की क्रिया।	Verification of the documents is under process.	दस्तावेज़ों का सत्यापन प्रक्रियाधीन है।
Scrutiny	संवीक्षा	noun	general administration	Careful examination of a case or document before a decision.	निर्णय से पूर्व किसी मामले या दस्तावेज़ की सावधानीपूर्वक जांच।	The applications are under scrutiny in the section.	आवेदन अनुभाग में संवीक्षाधीन हैं।
Allotment	आवंटन	noun	general administration	The assignment of funds, quarters or other resources to a unit or person.	किसी इकाई अथवा व्यक्ति को निधियों, आवास या अन्य संसाधनों का नियतन।	Allotment of government accommodation has been made.	सरकारी आवास का आवंटन कर दिया गया है।
Requisition	अधियाचन	noun	service matters	A formal demand sent to a recruiting agency to fill up posts.	पदों को भरने हेतु भर्ती अभिकरण को भेजी गई औपचारिक मांग।	The requisition for ten posts was sent to the Commission.	दस पदों का अधियाचन आयोग को भेजा गया।
Recommendation	सिफारिश	noun	general administration	A proposal put forward by an authority for acceptance by another.	किसी प्राधिकारी द्वारा दूसरे की स्वीकृति हेतु रखा गया प्रस्ताव।	The recommendation of the committee has been accepted.	समिति की सिफारिश स्वीकार कर ली गई है।
Implementation	कार्यान्वयन	noun	general administration	The act of putting a decision, policy or scheme into effect.	किसी निर्णय, नीति अथवा योजना को प्रभावी बनाने की क्रिया।	The implementation of the scheme begins next month.	योजना का कार्यान्वयन अगले माह से आरंभ होगा।
Monitoring	अनुवीक्षण	noun	general administration	Regular watching of progress to ensure that targets are met.	लक्ष्यों की प्राप्ति सुनिश्चित करने हेतु प्रगति का नियमित निरीक्षण।	Monthly monitoring of the project has been prescribed.	परियोजना का मासिक अनुवीक्षण निर्धारित किया गया है।
Inspection	निरीक्षण	noun	general administration	An official examination of an office, work or store.	किसी कार्यालय, कार्य अथवा भंडार की शासकीय जांच।	The inspection report contains eight observations.	निरीक्षण रिपोर्ट में आठ प्रेक्षण हैं।
Report	रिपोर्ट; प्रतिवेदन	noun	general administration	A formal account of facts, findings or progress.	तथ्यों, निष्कर्षों अथवा प्रगति का औपचारिक विवरण।	The annual report was laid before both Houses.	वार्षिक प्रतिवेदन दोनों सदनों के समक्ष रखा गया।
Return	विवरणी	noun	general administration	A periodical statement of prescribed information submitted to a higher office.	उच्चतर कार्यालय को प्रस्तुत निर्धारित सूचना का आवधिक विवरण।	The monthly return has not been received from two offices.	दो कार्यालयों से मासिक विवरणी प्राप्त नहीं हुई है।
Instructions	अनुदेश	noun	general administration	Directions issued for the guidance of officers and staff.	अधिकारियों और कर्मचारियों के मार्गदर्शन हेतु जारी निदेश।	Standing instructions on the subject already exist.	इस विषय पर स्थायी अनुदेश पहले से विद्यमान हैं।
